AAVE,SAE
they- they gonna be the namer,that they-they will be the namer 
"and then you say b- something like uh,","and then you say something like, uh, "
say i forgot.,i forgot what you say. 
you forgot what you say on your feet?,you forgot what you say toward the feet? 
any other kind of games that you play?,what other games do you play? 
i play d- i have-,i play- i have-
i have some /boxes/ games at home.,i have some boxed games at home. 
don't spill the bean,don't spill the beans. 
it got some marbles with it,it has marbles with it 
and four dices,and four dice 
you sposta roll u-,you are supposed to roll-
and have some holes in it.,and there are holes in it. 
and you- wherever you- where the dice stop at you sposta put,and you-where you-where the dice stop you are supposed to put
and then how do you win it?,how do you win the game? 
it have four,it has four 
"you get all four of your marbles down there, you won.",you get all four of your marbles down the thing and you win. 
it's different colored.,it has different colors. 
and what about some other games that you play like that?,what are some other games thtat you play like that? 
"some friends of mines, live on- over top of me.","some friends of mine, they live above me. "
have to get a ball and then,you get a ball and then 
some- some children be on one team,children are divided so some are on one team
and some be on another-,and some children are on another 
and then somebody roll the ball and then you sposta kick it and run to a base.,and then somebody rolls the ball toward you and then you are supposed to kick it and run to a base. 
"if- if you uh, hit the person before they get on base, they out. and the one who get the most points win.","if-if you uh, touch the person with the ball before they get on base, they are out. and the team who gets the most points wins."
you /really/ play with [marbles]?,do you /really/ play with [marbles]?
"i watch- in the morning i get up. i watch baby daphne,","i watch-in the morning when i get up, i watch baby daphne, "
"the flintstone,","the flintstones, "
"any one of those programs that you said, can you tell me about it?",can you tell me about any of the programs that you just stated? 
what one of 'em was?,what one of them was? 
"one of 'em was uh,","one of them was, uh, "
"so this uh, submarine came.",so this sumbarine appeared. 
a j- jap was in it.,a japanese enemy was in it. 
can you tell me about any of one of them or the people in 'em?,can you tell me about any of those books or the people in them? 
one of 'em-,one of them-
"in one of the books it's about uh,","one of the books is about uh, "
but this- was no more circus so,but this-was no mere circus so  
"and he took and ate the man uh,","and he took and ate the man's uh, "
they try to get it out his mouth.,they try to get the watch out of his mouth. 
he got caught- he got caught up in a uh-,he got caught-he got caught in a uh-
we went to playground. he followed us.,we went to the playground. he followed us. 
he got caught up in a fence.,he got caught in a fence. 
and he was scared to go out in the front so my father took him to the dog pound.,and he was scared to go to the front of the house so my father took him to the dog pound. 
"we try to take him out front, he wouldn't come out front.","we try to take him out front of the house, he wouldn't come to the front of the house. "
tell me about your school.,can you tell me about your school? 
and did you ever have a teacher who hollered a lot?,and did you ever have a teacher who yelled a lot? 
"every time you be bad, she'll holler at you.","everytime you act bad, she would yell at you. "
"if you don't quiet, she have a big stick,","if you don't quiet down, she would take a big stick, "
and she'll hit you with it.,and she would hit you with it. 
she ever holler at you?,did she ever yell at you? 
sometime,sometimes
"some of 'em stay at school and play on the merry-go-round, some of us go home.","some of them stay at school and play on the merry-go-round, some of us go home. "
anything special you do?,do you do anything special? 
stay in the house and cook.,i stay in the house and cook. 
she nice.,she is nice. 
her name mrs. /rd-name-2/.,her name is mrs. /rd-name-2/.
she don't holler at you.,she doesn't yell at you. 
she give you-,she gives you-
she don't give you too much work to do.,she doesn't give you too much work to do. 
she let you draw.,she lets you draw. 
"if you had go bathroom, you ask, and she'll let you go.","if you had to go to the bathroom, you would ask, and she would let you go. "
did you ever have a teacher you just couldn't stand?,did you ever have a teacher that you couldn't tolerate? 
stick it in somebody chair. when they sit down,stick it in somebody's chair. when they sit down
they start to hollering.,they start yelling. 
"that's a usual thing, /do you agree?/","that's typical, /do you agree?/"
you have a group of friends you ever play with?,do you have a group of friends that you play with? 
"one of 'em name uh,","one of them is named uh, "
what kind of things do you do with your girlfriends?,what things do you do with your friends who are girls? 
ever do anything else?,do you ever do anything else? 
somebody have to-,somebody has to-
last one who run to a tree is it.,the last one who runs to the tree is it. 
somebody- everybody'll get off base and whoever they touch-,somebdoy- everybody gets off of base and whoever they touch-
person that it,person that is it 
"touch somebody else,","touches somebody else, "
that person that they touch is it.,the person that they touch is it. 
/is that right?/,/really?/
[how about new kids?] any- any way or anything that a person has to do to join your group of friends?,[how about new kids?] any-is there anything a person has to do to join your group of friends? 
say if s- a new girl came in your neighborhood?,for example-what happens if a new girl came to your neighborhood? 
we ask if she wanna play.,we would ask if she wants to play. 
she say yes.,she says yes. 
what do you wanna be when you finish school?,what do you want to do when you finish school? 
i don't know what i wanna be.,i don't know what i want to be. 
"hm, have you thought of anything about that?","hm, have you thought about that? "
i keep thinking i wanna be a lot of things.,i keep thinking i want to be a lot of things. 
"hm, like what kind of things do you still wanna /?/?","hm, like what kind of things do you still want to /?/?"
go through college.,go to college. 
and buy me,and buy myself 
what kind of things would you buy in the store?,what would you buy in the store? 
sometime i help my mama cook.,sometimes i help my mama cook. 
"sometime i uh, cl-","sometimes i uh, cl-"
say a time of the year for,a time of the year for 
go and visit peoples.,go and visit people. 
go far.,travel far. 
go and see my sister.,travel and see my sister. 
"uh-huh. and what do you do uh, when you dress up? what kind of things do you","uh-huh. and what do you do uh, when you dress up? what do you "
it ain't nothing to tell about.,there's nothing to tell about the party. 
